ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11956924,JD122289,01/20/2020 03:09:00 PM,040XX W 27TH ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1031,10.0,22.0,30.0,18,1150051.0,1885750.0,2020,01/27/2020 03:53:45 PM,41.842405375,-87.724851247,"(41.842405375, -87.724851247)"
12015772,JD193186,03/22/2020 03:00:00 AM,073XX S EVANS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,323,3.0,6.0,69.0,11,1182494.0,1856542.0,2020,03/29/2020 03:45:26 PM,41.761563793,-87.606701519,"(41.761563793, -87.606701519)"
12143585,JD341582,08/22/2020 04:00:00 PM,074XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2411,24.0,50.0,2.0,06,1159016.0,1949514.0,2020,08/29/2020 03:50:15 PM,42.017199205,-87.690196849,"(42.017199205, -87.690196849)"
11961588,JD127906,01/25/2020 04:35:00 AM,063XX N GREENVIEW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,2433,24.0,48.0,77.0,14,1165151.0,1942415.0,2020,02/01/2020 03:50:49 PM,41.997590702,-87.667824647,"(41.997590702, -87.667824647)"
12141910,JD339707,08/20/2020 11:50:00 PM,059XX N RIDGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL / MOTEL,False,False,2012,20.0,40.0,77.0,14,1164087.0,1939861.0,2020,08/27/2020 03:55:18 PM,41.99060508,-87.671811275,"(41.99060508, -87.671811275)"
11959695,JD125598,01/23/2020 06:34:00 AM,089XX S BLACKSTONE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,413,4.0,8.0,48.0,26,1187680.0,1845914.0,2020,01/30/2020 03:56:40 PM,41.732277748,-87.588031985,"(41.732277748, -87.588031985)"
12037374,JD216505,04/24/2020 09:58:00 PM,005XX S LOCKWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1522,15.0,29.0,25.0,14,1141095.0,1897064.0,2020,05/01/2020 03:49:55 PM,41.873621962,-87.757439225,"(41.873621962, -87.757439225)"
11996506,JD170391,02/24/2020 06:25:00 PM,046XX N DOVER ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1913,19.0,46.0,3.0,06,1165862.0,1930847.0,2020,03/04/2020 03:48:36 PM,41.965832567,-87.665540923,"(41.965832567, -87.665540923)"
12187984,JD393150,09/18/2020 04:00:00 PM,007XX N WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,COMMERCIAL / BUSINESS OFFICE,False,False,1834,18.0,42.0,8.0,07,1176605.0,1905241.0,2020,10/11/2020 03:44:44 PM,41.895332318,-87.62681724,"(41.895332318, -87.62681724)"
12060488,JD243912,05/26/2020 10:33:00 PM,048XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,True,True,1533,15.0,28.0,25.0,08B,1144097.0,1899222.0,2020,06/02/2020 03:49:38 PM,41.879487981,-87.746363028,"(41.879487981, -87.746363028)"
